arm,feature_set,cell,n,ks_D,ks_p,powered,leak_sized
empirical,D_plus_season,other | 35-119,352,0.030948231837898965,0.8782277000311199,True,False
empirical,D_plus_season,other | 600+,1365,0.05791135150225335,0.00020214830337878515,True,True
empirical,D_plus_season,period_start | 300-599,356,0.06587703092156105,0.08699760760974917,True,True
empirical,D_plus_season,period_start | 600+,10637,0.018669641300480544,0.0011887061183573795,True,False
lognormal,A_state,DREB | 0-34,6552,0.17536632426175072,1.053245501021544e-176,True,True
lognormal,A_state,DREB | 120-299,39095,0.1453985315599416,0.0,True,True
lognormal,A_state,DREB | 300-599,64535,0.10150116149955046,0.0,True,True
lognormal,A_state,DREB | 35-119,19776,0.10434308695296513,6.325890044756156e-188,True,True
lognormal,A_state,DREB | 600+,125715,0.06049110717105083,0.0,True,True
lognormal,A_state,TOV | 0-34,2984,0.2594879727312961,1.0163276117099246e-177,True,True
lognormal,A_state,TOV | 120-299,18055,0.10707001848835568,1.0684593796524833e-180,True,True
lognormal,A_state,TOV | 300-599,30745,0.10105043202603792,9.205445046256864e-274,True,True
lognormal,A_state,TOV | 35-119,9196,0.07793607792456192,4.980783218406032e-49,True,True
lognormal,A_state,TOV | 600+,63019,0.07643969491379454,1.062e-320,True,True
lognormal,A_state,made_FG | 0-34,5322,0.30719804189235006,0.0,True,True
lognormal,A_state,made_FG | 120-299,40350,0.20374495463372602,0.0,True,True
lognormal,A_state,made_FG | 300-599,67288,0.1792031587692776,0.0,True,True
lognormal,A_state,made_FG | 35-119,19323,0.12557886134423174,4.483461475259959e-266,True,True
lognormal,A_state,made_FG | 600+,137113,0.13058075877736025,0.0,True,True
lognormal,A_state,made_FT | 0-34,4977,0.34409350498910246,0.0,True,True
lognormal,A_state,made_FT | 120-299,12683,0.22050489572632667,0.0,True,True
lognormal,A_state,made_FT | 300-599,16571,0.21068065051526988,0.0,True,True
lognormal,A_state,made_FT | 35-119,8641,0.10765107064385537,1.1681157926237342e-87,True,True
lognormal,A_state,made_FT | 600+,23057,0.16826363516888931,0.0,True,True
lognormal,A_state,other | 0-34,422,0.23464874029265848,6.404296868426435e-21,True,True
lognormal,A_state,other | 120-299,548,0.11012329955689448,3.043484578659192e-06,True,True
lognormal,A_state,other | 300-599,830,0.12693766619062774,4.062822081662168e-12,True,True
lognormal,A_state,other | 35-119,352,0.1860012977312545,3.916663466588726e-11,True,True
lognormal,A_state,other | 600+,1365,0.17468087265184673,6.747612592644878e-37,True,True
lognormal,A_state,period_start | 300-599,356,0.3102703998346539,6.145954405437469e-31,True,True
